Id,Nombre,Institucion,Evento,Ciudad,Lugar,Formato,Fecha,Fecha.inicio,Fecha.fin,anio,Tipo,Cantidad,Rol,Links,observation
1001,Informática para niños,Liceo Informático,Alumnos K-12.,Ingeniero Luiggi. La Pampa,Argentina,In person,Abril-Diciembre 1994,,,1993,Course,7,Teacher,,Una clase a la semana de hora y media
1002,Sistema Operativo,Liceo Informático,Alumnos K-12.,Ingeniero Luiggi. La Pampa,Argentina,In person,Agosto-Diciembre 1993,,,1993,Course,7,Teacher,,Una clase a la semana de hora y media
1003,Base de Datos,Liceo Informático,Alumnos K-12.,Ingeniero Luiggi. La Pampa,Argentina,In person,Abril-Diciembre 1994,,,1994,Course,17,Teacher,,Una clase a la semana de hora y media
1004,Informática para niños,Liceo Informático,Alumnos K-12.,Ingeniero Luiggi. La Pampa,Argentina,In person,Abril-Diciembre 1994,,,1994,Course,12,Teacher,,Una clase a la semana de hora y media
1005,Intro a la computación,IBM-Banco Nación,,Ingeniero Luiggi. La Pampa,Argentina,In person,Agosto-Septiembre,,,1994,Course,5,Teacher,,Una clase a la semana de hora y media
1006,Sistema Operativo,Liceo Informático,,Ingeniero Luiggi. La Pampa,Argentina,In person,Abril-Diciembre 1994,,,1994,Course,9,Teacher,,Una clase a la semana de hora y media
1007,2das Jornadas sobre Informática- Educación y Sociedad,Liceo Informático II,,Santa Rosa,Argentina,In person,31 de Oct. 1 de Nov,31/10/1996,1/11/1996,1996,Conference,80,Organizer,,
1008,Actividades Plásticas (Internet),Colegio Universitario Liceo Informático II,Escuela secundaria,Santa Rosa,Argentina,In person,Marzo-Diciembre,,,1996,Course,27,Teacher,,
1009,Actividades Prácticas (Producción Multimedial),Colegio Universitario Liceo Informático II,Escuela secundaria,Santa Rosa,Argentina,In person,Marzo-Diciembre,,,1996,Course,27,Teacher,,
1010,Arquitectura y Sistemas Operativos,Colegio Universitario Liceo Informático II,Carrera de Analista de Sistemas.,Santa Rosa,Argentina,In person,Agosto-Diciembre,,,1996,Course,100,Teacher Assistant,,
1011,Introducción a la computación para niños,C.E.D.A.N.,Alumnos K-12.,Santa Rosa,Argentina,In person,Mayo-Noviembre 1996,,,1996,Course,18,Teacher,,
1012,Operador de PC,C.E.D.A.N.,,Santa Rosa,Argentina,In person,Mayo-Noviembre 1996,,,1996,Course,15,Teacher,,
1013,3ras Jornadas sobre Informática- Educación y Sociedad,Liceo Informático II,,Santa Rosa,Argentina,In person,30 y 31 de Octubre de 1997,30/10/1997,31/10/1997,1997,Conference,80,Organizer,,
1014,Actividades Plásticas (Internet),Colegio Universitario Liceo Informático II,Escuela secundaria,Santa Rosa,Argentina,In person,Marzo-Diciembre,,,1997,Course,23,Teacher,,
1015,Actividades Prácticas (Producción Multimedial),Colegio Universitario Liceo Informático II,Escuela secundaria,Santa Rosa,Argentina,In person,Marzo-Diciembre,,,1997,Course,23,Teacher,,
1016,Informática 7º año,Colegio Universitario Liceo Informático II,Tercer ciclo EGB.,Santa Rosa,Argentina,In person,Marzo-Diciembre,,,1997,Course,26,Teacher,,
1017,Informática 8º año,Colegio Universitario Liceo Informático II,Tercer ciclo EGB.,Santa Rosa,Argentina,In person,Marzo-Diciembre,,,1997,Course,26,Teacher,,
1018,Informática inicial para docentes,Subsecretaria de Coordinación - Ministerio de Cultura y Educación - Prov. de La Pampa,Docentes. ,Santa Rosa,Argentina,In person,Abril-Noviembre 1997,,,1997,Course,27,Teacher,,
1019,Informática inicial para niños,Colegio Universitario Liceo Informático II,Alumnos K-12.,Santa Rosa,Argentina,In person,Abril-Noviembre 1997,,,1997,Course,15,Teacher,,
1020,Multimedia Infantil,Colegio Universitario Liceo Informático II,Alumnos K-12.,Santa Rosa,Argentina,In person,Abril-Noviembre 1997,,,1997,Course,15,Teacher,,
1021,Práctica Visual (Diseño Gráfico por Computadora) - 8º año,Colegio Universitario Liceo Informático II,Tercer ciclo EGB.,Santa Rosa,Argentina,In person,Marzo-Diciembre,,,1997,Course,25,Teacher,,
1022,Técnicas de Multiprogramación,Colegio Universitario Liceo Informático II,Carrera de Analista de Sistemas.,Santa Rosa,Argentina,In person,Marzo-Julio,,,1997,Course,68,Teacher Assistant,,
1023,Utilización Pedagógica de la Informática en Escuelas Primarias,Subsecretaria de Coordinación - Ministerio de Cultura y Educación - Prov. de La Pampa,Docentes. ,Santa Rosa,Argentina,In person,Abril-Mayo 1997,,,1997,Course,35,Teacher,,
1024,Utilización Pedagógica de la Informática y Telemática en Escuelas de Nivel Medio,Subsecretaria de Coordinación - Ministerio de Cultura y Educación - Prov. de La Pampa,Docentes. ,Santa Rosa,Argentina,In person,Septiembre-Noviembre 1997,,,1997,Course,30,Teacher,,
1025,Informática 7º año,Colegio Universitario Liceo Informático II,Tercer ciclo EGB.,Santa Rosa,Argentina,In person,Marzo-Diciembre,,,1998,Course,25,Teacher,,
1026,Informática 8º año,Colegio Universitario Liceo Informático II,Tercer ciclo EGB.,Santa Rosa,Argentina,In person,Marzo-Diciembre,,,1998,Course,25,Teacher,,
1027,Internet en educación,4tas Jornadas sobre Informática- Educación y Sociedad,,Santa Rosa,Argentina,In person,31 de Octubre y 1 de Noviembre de 1998,31/10/1998,1/11/1998,1998,Invited Talk,70,Speaker,,
1030,Internet y Correo Electrónico,INTA,Investigadores,Anguil,Argentina,In person,julio 1998,,,1998,Course,45,Teacher,,
1029,Internet y Correo Electrónico,INTA,Investigadores,Anguil,Argentina,In person,agosto 1998,,,1998,Course,58,Teacher,,
1028,Internet y Correo Electrónico,INTA,Investigadores,Anguil,Argentina,In person,septiembre 1998,,,1998,Course,32,Teacher,,
1031,Práctica Visual (Diseño Gráfico por Computadora) - 8º año,Colegio Universitario Liceo Informático II,Tercer ciclo EGB.,Santa Rosa,Argentina,In person,Marzo-Diciembre,,,1998,Course,25,Teacher,,
1032,Sistemas de Computación,Colegio Universitario Liceo Informático II,Carrera de Analista de Sistemas.,Santa Rosa,Argentina,In person,Marzo-Julio,,,1998,Course,53,Teacher Assistant,,
1033,Capacitación en el uso del software de la encuesta AgroRADAR,INTA,Bolsa y Camara de Cereales de Bahia Blanca e INTA,EEA Anguil,Argentina,In person,abril 1999,1/4/1999,,1999,Course,18,Teacher,,
1034,Estimaciones agricolas con imágenes satelitales,Universidad Nacional de La Pampa,VII Jornadas Pampeanas de Ciencias Naturales,Consejo Profesional de Ciencias Naturales de La Pampa y Facultad de Ciencias Exactas y Naturales- UNLPam,Argentina,In person,diciembre 1999,1/12/1999,,1999,Lightning talk,30,Speaker,,
1035,SIG y Teledetección,Asociación Agrícola Ganadera de La Pampa,73º Exposición Rural- Comercial e Industrial de la Asociación Agrícola Ganadera de La Pampa-,Santa Rosa,Argentina,In person,septiembre de 1999,1/9/1999,,1999,Exhibition,200,Speaker,,
1036,AgroRADAR,Bolsa de Cereales de Buenos Aires,VII Encuentro de la Asociación Panamericana De Bolsas De Productos,Buenos Aires- Argentina,Latin America,In person,15 16 y 17 de Noviembre de 2000,15/11/2000,17/11/2000,2000,Invited Talk,200,Speaker,,
